policy_number,client_name,client_type,carrier_name,category,sub_category,issue_date,expiry_date,premium_amount,policy_status,distribution_channel,region,claim_amount,claim_status,commission_earned
POL-48177654,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,United India,Travel,Flight,2026-05-10,2026-12-07,34816.72,Cancelled,Broker,Delhi,0.0,No Claim,5257.32
POL-269712,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,TATA AIG,Motor,2W,2024-10-03,2025-06-15,26368.82,Renewed,Broker,Delhi,0.0,No Claim,3981.69
POL-92453494,Bimala Ram,Individual/B2C,TATA AIG,Health,Individual,2024-10-25,2025-06-17,27048.71,Active,Direct,Tamil Nadu,0.0,No Claim,3732.72
POL-29088530,Bimala Ram,Individual/B2C,Bajaj Allianz,Motor,2W,2025-03-29,2025-06-16,46366.08,Expired,Online,Tamil Nadu,0.0,No Claim,6815.81
POL-80211059,Avi Dhar,Individual/B2C,TATA AIG,Health,Group Medi,2024-12-11,2025-10-20,45647.79,Renewed,Agency,Tamil Nadu,0.0,No Claim,4747.37
POL-24503306,Avi Dhar,Individual/B2C,New India Assurance,Health,Group Medi,2024-12-06,2025-11-26,20607.16,Cancelled,Broker,Tamil Nadu,16613.15,Settled,2823.18
POL-27227756,Sankar-Goyal,Corporate/B2B,New India Assurance,Motor,CV,2025-04-17,2025-04-17,39575.75,Renewed,Agency,Karnataka,0.0,No Claim,6530.0
POL-3266037,Sankar-Goyal,Corporate/B2B,TATA AIG,Health,Group Medi,2026-05-18,2027-02-22,38093.68,Cancelled,Online,Karnataka,19569.03,Registered,4456.96
POL-84980582,Sankar-Goyal,Corporate/B2B,United India,Home,Theft,2026-02-16,2026-05-13,38328.54,Active,Agency,Karnataka,0.0,No Claim,3296.25
POL-50820569,Sankar-Goyal,Corporate/B2B,New India Assurance,Travel,Flight,2025-05-18,2025-12-26,14470.19,Active,Agency,Karnataka,0.0,No Claim,1895.59
POL-61983229,Sankar-Goyal,Corporate/B2B,TATA AIG,Motor,2W,2026-05-17,2026-12-24,15764.2,Renewed,Broker,Karnataka,0.0,No Claim,1403.01
POL-83314040,Bhanumati Pandey,Individual/B2C,United India,Health,Group Medi,2025-12-22,2026-11-23,16920.91,Expired,Agency,Delhi,33069.93,Rejected,2098.19
POL-55669313,Bhanumati Pandey,Individual/B2C,TATA AIG,Travel,Flight,2025-03-05,2025-09-05,17476.43,Expired,Direct,Delhi,0.0,No Claim,2219.51
POL-37639271,Ayush Choudhury,Individual/B2C,HDFC ERGO,Health,Group Medi,2025-01-21,2026-01-20,26480.99,Renewed,Agency,Gujarat,0.0,No Claim,4713.62
POL-77265645,Ayush Choudhury,Individual/B2C,HDFC ERGO,Health,Individual,2025-05-29,2026-04-11,34664.03,Renewed,Broker,Gujarat,6430.65,Rejected,4575.65
POL-4799238,Ayush Choudhury,Individual/B2C,HDFC ERGO,Health,Individual,2026-05-16,2027-05-01,16515.23,Renewed,Agency,Gujarat,28642.16,Rejected,1519.4
POL-90386276,Ayush Choudhury,Individual/B2C,United India,Health,Individual,2025-07-16,2026-03-10,8645.22,Active,Direct,Gujarat,0.0,No Claim,1072.01
POL-29862859,Logan Buch,Individual/B2C,Bajaj Allianz,Motor,2W,2024-07-16,2025-05-22,38948.83,Cancelled,Direct,Maharashtra,0.0,No Claim,6114.97
POL-97467551,Logan Buch,Individual/B2C,Bajaj Allianz,Motor,CV,2025-04-28,2025-06-24,14211.42,Renewed,Broker,Maharashtra,0.0,No Claim,1250.6
POL-4026106,Logan Buch,Individual/B2C,ICICI Lombard,Motor,2W,2025-08-29,2025-10-21,20353.64,Expired,Agency,Maharashtra,18289.61,Approved,3663.66
POL-39990569,Logan Buch,Individual/B2C,ICICI Lombard,Travel,Flight,2024-08-19,2024-12-03,43576.25,Cancelled,Broker,Maharashtra,0.0,No Claim,6100.68
POL-48973360,"Chacko, Chand and Chand",Corporate/B2B,ICICI Lombard,Health,Individual,2026-01-09,2026-12-12,32909.61,Expired,Online,Tamil Nadu,0.0,No Claim,3389.69
POL-24854921,Indali Sood,Individual/B2C,ICICI Lombard,Motor,4W,2026-01-12,2026-02-17,22099.74,Expired,Broker,Maharashtra,16902.32,Approved,1900.58
POL-74884039,Indali Sood,Individual/B2C,TATA AIG,Motor,4W,2026-01-28,2026-08-13,46108.96,Expired,Direct,Maharashtra,0.0,No Claim,5533.08
POL-46240297,Sani-Soman,Corporate/B2B,ICICI Lombard,Motor,2W,2026-06-07,2027-03-25,43345.1,Active,Agency,Delhi,0.0,No Claim,5331.45
POL-60926191,Sani-Soman,Corporate/B2B,New India Assurance,Home,Damage,2026-02-04,2026-10-23,26111.27,Expired,Broker,Delhi,0.0,No Claim,4595.58
POL-82680439,Nidra Mody,Individual/B2C,United India,Travel,Overseas,2026-03-21,2026-05-28,47970.71,Active,Broker,Maharashtra,0.0,No Claim,8250.96
POL-39045880,Nidra Mody,Individual/B2C,HDFC ERGO,Home,Damage,2026-03-03,2027-01-29,35300.81,Expired,Online,Maharashtra,0.0,No Claim,6142.34
POL-46666726,Nidra Mody,Individual/B2C,HDFC ERGO,Health,Individual,2024-08-13,2025-06-07,28318.35,Cancelled,Online,Maharashtra,0.0,No Claim,4021.21
POL-21547737,"Sehgal, Chahal and Murty",Corporate/B2B,United India,Motor,CV,2025-03-06,2025-03-18,46937.2,Expired,Direct,Maharashtra,28836.38,Settled,7322.2
POL-42972712,"Sehgal, Chahal and Murty",Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-10-29,2026-05-25,23887.92,Renewed,Broker,Maharashtra,0.0,No Claim,2866.55
POL-79635506,Goyal-Pal,Corporate/B2B,United India,Travel,Flight,2025-11-25,2026-02-17,30194.77,Renewed,Online,Uttar Pradesh,0.0,No Claim,4227.27
POL-71946248,Goyal-Pal,Corporate/B2B,ICICI Lombard,Motor,2W,2025-06-01,2026-01-25,22957.08,Renewed,Direct,Uttar Pradesh,0.0,No Claim,3994.53
POL-83483868,Goyal-Pal,Corporate/B2B,United India,Home,Damage,2025-06-10,2025-07-10,33961.51,Expired,Broker,Uttar Pradesh,0.0,No Claim,5807.42
POL-79635524,Pandya-Jhaveri,Corporate/B2B,TATA AIG,Home,Damage,2026-01-05,2026-04-08,23125.57,Expired,Agency,Delhi,0.0,No Claim,2960.07
POL-48879192,Pandya-Jhaveri,Corporate/B2B,Bajaj Allianz,Travel,Overseas,2024-08-06,2024-12-30,16192.39,Renewed,Online,Delhi,0.0,No Claim,2153.59
POL-40855281,Baral Ltd,Corporate/B2B,United India,Health,Individual,2024-09-12,2025-04-29,49188.63,Cancelled,Direct,Maharashtra,0.0,No Claim,5410.75
POL-84303223,Tank Group,Corporate/B2B,New India Assurance,Home,Theft,2025-09-13,2025-12-22,22007.88,Renewed,Direct,Tamil Nadu,0.0,No Claim,3675.32
POL-2234741,"Rajan, Nath and Nath",Corporate/B2B,Bajaj Allianz,Health,Group Medi,2025-09-10,2026-03-19,18166.23,Expired,Direct,Delhi,0.0,No Claim,2179.95
POL-74141941,"Rajan, Nath and Nath",Corporate/B2B,Bajaj Allianz,Travel,Flight,2025-01-15,2025-10-11,36144.55,Cancelled,Broker,Delhi,0.0,No Claim,4012.05
POL-3670573,"Rajan, Nath and Nath",Corporate/B2B,ICICI Lombard,Health,Group Medi,2025-08-25,2025-10-23,26996.57,Expired,Broker,Delhi,38792.83,Under Review,3590.54
POL-12062154,"Rajan, Nath and Nath",Corporate/B2B,HDFC ERGO,Motor,4W,2024-09-27,2025-05-12,25213.08,Renewed,Direct,Delhi,14546.47,Registered,4437.5
POL-11621751,"Mohanty, Vyas and Naidu",Corporate/B2B,United India,Motor,4W,2024-08-01,2025-06-20,29136.33,Renewed,Agency,Delhi,0.0,No Claim,2651.41
POL-78246704,"Mohanty, Vyas and Naidu",Corporate/B2B,Bajaj Allianz,Health,Group Medi,2025-01-07,2025-01-13,16641.94,Renewed,Online,Delhi,3110.81,Under Review,2928.98
POL-91324829,"Mohanty, Vyas and Naidu",Corporate/B2B,Bajaj Allianz,Home,Theft,2025-05-30,2025-06-10,20134.69,Renewed,Online,Delhi,5840.43,Registered,3382.63
POL-52048106,Krishna Bawa,Individual/B2C,New India Assurance,Motor,CV,2026-03-01,2027-02-27,6105.64,Active,Direct,Karnataka,0.0,No Claim,561.72
POL-39718943,Dugal Ltd,Corporate/B2B,ICICI Lombard,Motor,CV,2024-09-13,2025-02-13,9866.31,Renewed,Agency,Uttar Pradesh,0.0,No Claim,917.57
POL-49240571,Dugal Ltd,Corporate/B2B,Bajaj Allianz,Motor,2W,2026-05-23,2026-10-10,7784.82,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,1401.27
POL-13642996,Dugal Ltd,Corporate/B2B,ICICI Lombard,Home,Damage,2024-10-17,2025-08-30,30394.76,Expired,Online,Uttar Pradesh,0.0,No Claim,4012.11
POL-42234400,Omya Nayar,Individual/B2C,TATA AIG,Motor,2W,2026-05-23,2026-10-13,13289.54,Expired,Agency,Delhi,13988.36,Rejected,1461.85
POL-31384670,Omya Nayar,Individual/B2C,Bajaj Allianz,Travel,Flight,2025-12-07,2026-01-10,49849.41,Cancelled,Broker,Delhi,0.0,No Claim,7776.51
POL-52788269,"Bera, Raj and Chandra",Corporate/B2B,United India,Motor,4W,2025-01-24,2025-03-22,48184.36,Cancelled,Broker,West Bengal,0.0,No Claim,7420.39
POL-12058237,Nath Ltd,Corporate/B2B,ICICI Lombard,Travel,Overseas,2025-07-28,2025-09-03,35579.39,Renewed,Direct,Tamil Nadu,0.0,No Claim,5835.02
POL-20540138,Nath Ltd,Corporate/B2B,New India Assurance,Travel,Flight,2026-03-08,2026-03-28,28236.86,Cancelled,Broker,Tamil Nadu,0.0,No Claim,4630.85
POL-45260864,Nath Ltd,Corporate/B2B,TATA AIG,Home,Damage,2025-10-06,2025-10-21,37842.55,Expired,Agency,Tamil Nadu,0.0,No Claim,4541.11
POL-49999276,Luke Sura,Individual/B2C,HDFC ERGO,Motor,CV,2026-04-27,2026-08-29,16094.6,Renewed,Online,Tamil Nadu,0.0,No Claim,2639.51
POL-74457988,Varsha Vig,Individual/B2C,Bajaj Allianz,Travel,Flight,2025-05-07,2025-09-09,10330.05,Renewed,Broker,Uttar Pradesh,0.0,No Claim,909.04
POL-86517483,Varsha Vig,Individual/B2C,Bajaj Allianz,Health,Individual,2024-12-17,2025-11-07,44391.36,Expired,Broker,Uttar Pradesh,0.0,No Claim,7901.66
POL-81574830,Darpan Vohra,Individual/B2C,HDFC ERGO,Home,Damage,2025-11-07,2026-08-14,6971.59,Active,Broker,West Bengal,27717.25,Under Review,1247.91
POL-5770766,Darpan Vohra,Individual/B2C,ICICI Lombard,Health,Individual,2025-01-20,2025-05-17,28013.54,Renewed,Agency,West Bengal,39204.14,Approved,3949.91
POL-61387634,"Cherian, Thaman and Maharaj",Corporate/B2B,Bajaj Allianz,Travel,Flight,2025-11-28,2026-09-05,46604.28,Cancelled,Broker,Gujarat,31961.44,Rejected,4240.99
POL-73663785,Azad Garde,Individual/B2C,TATA AIG,Travel,Overseas,2025-10-08,2026-08-02,17777.75,Active,Online,Uttar Pradesh,0.0,No Claim,2151.11
POL-41749853,Azad Garde,Individual/B2C,New India Assurance,Health,Individual,2025-01-22,2025-05-10,32278.64,Renewed,Direct,Uttar Pradesh,0.0,No Claim,3744.32
POL-24672208,Azad Garde,Individual/B2C,Bajaj Allianz,Travel,Flight,2024-12-24,2025-01-11,23547.83,Expired,Direct,Uttar Pradesh,0.0,No Claim,2990.57
POL-91948452,Azad Garde,Individual/B2C,ICICI Lombard,Travel,Overseas,2026-04-27,2026-11-27,36283.92,Renewed,Broker,Uttar Pradesh,0.0,No Claim,4208.93
POL-59742329,Azad Garde,Individual/B2C,New India Assurance,Motor,4W,2024-06-18,2024-09-28,31210.37,Cancelled,Direct,Uttar Pradesh,20944.47,Under Review,4057.35
POL-98167402,Azad Garde,Individual/B2C,TATA AIG,Motor,4W,2025-05-24,2026-03-19,43516.7,Cancelled,Direct,Uttar Pradesh,0.0,No Claim,6396.95
POL-47742620,Azad Garde,Individual/B2C,United India,Health,Group Medi,2024-10-13,2025-09-09,18243.12,Active,Agency,Uttar Pradesh,0.0,No Claim,1714.85
POL-4402242,Azad Garde,Individual/B2C,ICICI Lombard,Motor,4W,2025-09-06,2025-11-26,16626.66,Cancelled,Direct,Uttar Pradesh,15429.55,Approved,2111.59
POL-9148145,Matthew Chowdhury,Individual/B2C,United India,Health,Individual,2025-12-13,2026-08-16,30886.42,Expired,Online,Gujarat,0.0,No Claim,3891.69
POL-84165609,Matthew Chowdhury,Individual/B2C,ICICI Lombard,Home,Damage,2024-06-20,2024-08-12,40125.33,Expired,Broker,Gujarat,0.0,No Claim,5978.67
POL-81292865,Jacob Narayan,Individual/B2C,HDFC ERGO,Home,Damage,2025-04-05,2026-03-26,35453.98,Expired,Direct,Delhi,0.0,No Claim,5672.64
POL-96115442,Jacob Narayan,Individual/B2C,United India,Travel,Overseas,2026-06-11,2026-12-26,40442.68,Renewed,Agency,Delhi,9462.53,Registered,6187.73
POL-77511322,Jacob Narayan,Individual/B2C,ICICI Lombard,Home,Damage,2024-12-23,2025-05-31,12385.09,Cancelled,Online,Delhi,0.0,No Claim,1263.28
POL-20059821,Jacob Narayan,Individual/B2C,TATA AIG,Home,Theft,2024-10-09,2024-11-14,47781.95,Expired,Direct,Delhi,0.0,No Claim,7119.51
POL-78855302,Jacob Narayan,Individual/B2C,HDFC ERGO,Motor,4W,2026-05-03,2026-10-08,9317.77,Active,Online,Delhi,0.0,No Claim,1080.86
POL-52224962,Wakeeta Patel,Individual/B2C,TATA AIG,Health,Group Medi,2024-06-19,2025-05-25,20240.92,Expired,Broker,West Bengal,0.0,No Claim,2934.93
POL-91714952,Wakeeta Patel,Individual/B2C,HDFC ERGO,Motor,2W,2025-10-06,2026-05-30,29036.44,Expired,Online,West Bengal,0.0,No Claim,3077.86
POL-69630266,Wakeeta Patel,Individual/B2C,Bajaj Allianz,Health,Individual,2026-04-24,2026-11-28,24558.33,Cancelled,Broker,West Bengal,0.0,No Claim,2897.88
POL-53525603,Devika Kalita,Individual/B2C,HDFC ERGO,Home,Theft,2024-10-04,2025-03-18,28608.39,Cancelled,Direct,Delhi,0.0,No Claim,4548.73
POL-55086352,Devika Kalita,Individual/B2C,New India Assurance,Motor,2W,2026-02-01,2026-05-31,24530.68,Active,Online,Delhi,25826.17,Rejected,2207.76
POL-14491486,Devika Kalita,Individual/B2C,Bajaj Allianz,Health,Individual,2025-03-24,2025-07-30,28638.91,Renewed,Online,Delhi,0.0,No Claim,3493.95
POL-96103285,Kala Sahota,Individual/B2C,Bajaj Allianz,Health,Individual,2024-12-05,2025-05-03,24041.31,Renewed,Direct,Maharashtra,0.0,No Claim,2380.09
POL-12112305,Kala Sahota,Individual/B2C,Bajaj Allianz,Health,Individual,2025-01-06,2025-08-24,31901.95,Expired,Direct,Maharashtra,34348.97,Registered,4976.7
POL-92099489,Kala Sahota,Individual/B2C,HDFC ERGO,Travel,Overseas,2026-01-26,2026-07-25,19873.82,Cancelled,Direct,Maharashtra,0.0,No Claim,2186.12
POL-89325059,Siddharth Arora,Individual/B2C,New India Assurance,Motor,2W,2026-03-18,2026-04-10,36996.01,Renewed,Online,Karnataka,0.0,No Claim,4920.47
POL-83347231,Siddharth Arora,Individual/B2C,HDFC ERGO,Home,Damage,2025-02-23,2026-01-19,44584.53,Cancelled,Direct,Karnataka,0.0,No Claim,6241.83
POL-36158119,Siddharth Arora,Individual/B2C,New India Assurance,Travel,Overseas,2026-04-06,2026-12-27,48320.89,Active,Online,Karnataka,0.0,No Claim,8311.19
POL-55241951,Lila Munshi,Individual/B2C,Bajaj Allianz,Motor,4W,2025-01-13,2025-03-31,43596.79,Expired,Direct,Delhi,0.0,No Claim,5885.57
POL-12828011,Lila Munshi,Individual/B2C,ICICI Lombard,Health,Group Medi,2026-02-15,2026-06-23,30886.01,Active,Online,Delhi,0.0,No Claim,2532.65
POL-26255711,Gopal-Mand,Corporate/B2B,Bajaj Allianz,Health,Group Medi,2025-02-17,2025-08-27,47407.31,Expired,Agency,Gujarat,1633.59,Under Review,6637.02
POL-47891837,Gopal-Mand,Corporate/B2B,TATA AIG,Home,Damage,2025-10-03,2026-01-13,29098.59,Renewed,Broker,Gujarat,0.0,No Claim,5063.15
POL-29638247,Gopal-Mand,Corporate/B2B,United India,Travel,Flight,2025-01-08,2025-07-07,37527.28,Expired,Direct,Gujarat,24435.8,Rejected,5891.78
POL-80024370,Eiravati Gupta,Individual/B2C,ICICI Lombard,Home,Damage,2025-07-07,2025-10-17,49570.92,Active,Broker,Karnataka,1212.35,Settled,7187.78
POL-79414311,Isaac Dugar,Individual/B2C,ICICI Lombard,Home,Theft,2024-11-23,2025-06-05,42115.69,Active,Online,Karnataka,0.0,No Claim,5306.58
POL-91180496,More-Walla,Corporate/B2B,TATA AIG,Health,Individual,2024-11-04,2025-04-18,6209.84,Expired,Agency,West Bengal,31648.4,Registered,608.56
POL-61802738,More-Walla,Corporate/B2B,New India Assurance,Health,Group Medi,2026-01-22,2026-12-06,5636.65,Expired,Direct,West Bengal,6903.07,Rejected,518.57
POL-26612918,More-Walla,Corporate/B2B,New India Assurance,Travel,Flight,2026-04-09,2026-04-11,20554.28,Cancelled,Broker,West Bengal,0.0,No Claim,3165.36
POL-87950275,More-Walla,Corporate/B2B,TATA AIG,Motor,2W,2025-04-12,2025-07-05,8343.8,Cancelled,Online,West Bengal,0.0,No Claim,1368.38
POL-62734814,More-Walla,Corporate/B2B,New India Assurance,Home,Damage,2024-11-10,2024-12-19,27633.06,Active,Direct,West Bengal,0.0,No Claim,2569.87
POL-43236707,Barad-Pradhan,Corporate/B2B,HDFC ERGO,Travel,Overseas,2024-09-26,2025-05-10,44697.06,Renewed,Agency,West Bengal,0.0,No Claim,5810.62
POL-60012959,Barad-Pradhan,Corporate/B2B,HDFC ERGO,Motor,CV,2026-01-02,2026-11-13,49184.98,Renewed,Broker,West Bengal,0.0,No Claim,7426.93
POL-6807042,"Sunder, Garde and Tiwari",Corporate/B2B,New India Assurance,Travel,Overseas,2025-07-01,2025-10-05,15806.44,Cancelled,Direct,Maharashtra,0.0,No Claim,1501.61
POL-24750368,"Sunder, Garde and Tiwari",Corporate/B2B,Bajaj Allianz,Motor,2W,2026-06-17,2026-10-21,40695.25,Expired,Broker,Maharashtra,31221.06,Approved,6022.9
POL-15057717,Ekavir Kaur,Individual/B2C,United India,Travel,Flight,2025-01-31,2026-01-17,47707.16,Cancelled,Broker,Maharashtra,0.0,No Claim,8348.75
POL-64120301,Januja Johal,Individual/B2C,New India Assurance,Home,Damage,2024-07-06,2025-05-25,33142.48,Cancelled,Direct,Maharashtra,26905.32,Under Review,5468.51
POL-8478771,Azad Pathak,Individual/B2C,New India Assurance,Motor,2W,2026-02-26,2026-10-22,25045.42,Expired,Online,Karnataka,0.0,No Claim,3481.31
POL-18199642,Azad Pathak,Individual/B2C,New India Assurance,Health,Individual,2024-09-06,2024-12-10,7943.51,Active,Broker,Karnataka,0.0,No Claim,1175.64
POL-85639068,Azad Pathak,Individual/B2C,New India Assurance,Travel,Overseas,2026-05-11,2027-04-08,36027.58,Cancelled,Broker,Karnataka,0.0,No Claim,4971.81
POL-84677606,Azad Pathak,Individual/B2C,United India,Motor,2W,2024-10-10,2025-08-02,11348.8,Cancelled,Online,Karnataka,0.0,No Claim,1486.69
POL-50445802,"Prabhakar, Thakkar and Bassi",Corporate/B2B,ICICI Lombard,Travel,Flight,2025-03-08,2025-12-04,49147.19,Active,Broker,Tamil Nadu,34031.28,Approved,6143.4
POL-30134330,"Prabhakar, Thakkar and Bassi",Corporate/B2B,ICICI Lombard,Motor,4W,2025-05-24,2025-12-24,21954.92,Renewed,Online,Tamil Nadu,0.0,No Claim,3337.15
POL-99212285,"Prabhakar, Thakkar and Bassi",Corporate/B2B,Bajaj Allianz,Motor,4W,2026-02-27,2027-01-10,26898.12,Active,Online,Tamil Nadu,0.0,No Claim,2770.51
POL-22993340,"Prabhakar, Thakkar and Bassi",Corporate/B2B,TATA AIG,Travel,Overseas,2024-09-03,2024-09-18,39610.03,Cancelled,Online,Tamil Nadu,0.0,No Claim,4159.05
POL-90881522,"Doctor, Babu and Hayer",Corporate/B2B,United India,Health,Individual,2026-01-24,2026-09-03,21513.83,Active,Online,Maharashtra,0.0,No Claim,1914.73
POL-68243824,"Doctor, Babu and Hayer",Corporate/B2B,New India Assurance,Home,Theft,2024-08-07,2025-04-18,15558.23,Cancelled,Broker,Maharashtra,0.0,No Claim,2147.04
POL-28875355,David More,Individual/B2C,TATA AIG,Motor,CV,2024-10-03,2025-09-06,41537.31,Expired,Broker,Uttar Pradesh,39278.72,Settled,7269.03
POL-8448867,"Bansal, Master and Saha",Corporate/B2B,TATA AIG,Travel,Flight,2025-12-14,2026-10-04,47998.77,Cancelled,Broker,Tamil Nadu,12387.99,Under Review,7103.82
POL-59415031,"Bawa, Singhal and Sridhar",Corporate/B2B,ICICI Lombard,Travel,Overseas,2025-11-22,2026-02-27,28815.74,Renewed,Broker,Karnataka,0.0,No Claim,4869.86
POL-8177680,"Bawa, Singhal and Sridhar",Corporate/B2B,ICICI Lombard,Motor,CV,2024-07-15,2025-02-28,19673.84,Cancelled,Online,Karnataka,0.0,No Claim,3521.62
POL-20871685,Sankar-Johal,Corporate/B2B,Bajaj Allianz,Home,Damage,2024-12-02,2024-12-15,18632.49,Cancelled,Direct,Maharashtra,0.0,No Claim,1583.76
POL-54079437,Onveer Srinivasan,Individual/B2C,New India Assurance,Motor,2W,2025-08-02,2025-11-07,47246.03,Active,Online,Uttar Pradesh,32561.0,Under Review,4677.36
POL-61574907,Onveer Srinivasan,Individual/B2C,ICICI Lombard,Home,Theft,2025-03-20,2025-12-19,23235.18,Cancelled,Agency,Uttar Pradesh,0.0,No Claim,3020.57
POL-62021450,Onveer Srinivasan,Individual/B2C,New India Assurance,Home,Theft,2026-02-28,2026-05-20,42386.79,Active,Broker,Uttar Pradesh,0.0,No Claim,7587.24
POL-64293986,Alexander Roy,Individual/B2C,TATA AIG,Motor,CV,2024-07-07,2024-10-03,25263.61,Cancelled,Agency,Tamil Nadu,0.0,No Claim,4395.87
POL-76319617,Alexander Roy,Individual/B2C,United India,Health,Individual,2024-11-11,2025-06-11,19655.95,Renewed,Broker,Tamil Nadu,0.0,No Claim,1611.79
POL-34507022,"Grover, Warrior and Barad",Corporate/B2B,United India,Motor,2W,2025-08-18,2026-02-07,18991.76,Cancelled,Broker,Delhi,17916.06,Rejected,2316.99
POL-58227697,"Grover, Warrior and Barad",Corporate/B2B,United India,Travel,Flight,2026-06-18,2026-11-30,28805.3,Expired,Broker,Delhi,0.0,No Claim,2851.72
POL-4367218,"Grover, Warrior and Barad",Corporate/B2B,HDFC ERGO,Health,Group Medi,2024-12-19,2025-12-16,27924.92,Active,Online,Delhi,0.0,No Claim,2429.47
POL-20091504,Hemal Pai,Individual/B2C,Bajaj Allianz,Health,Group Medi,2025-11-22,2026-11-18,47509.76,Cancelled,Online,Tamil Nadu,16226.98,Registered,5226.07
POL-44550165,Hemal Pai,Individual/B2C,TATA AIG,Home,Theft,2025-05-09,2025-12-10,12356.12,Renewed,Agency,Tamil Nadu,0.0,No Claim,1655.72
POL-98694437,Hemal Pai,Individual/B2C,United India,Travel,Overseas,2025-07-15,2025-09-12,28208.03,Active,Direct,Tamil Nadu,0.0,No Claim,3441.38
POL-21085281,Hemal Pai,Individual/B2C,Bajaj Allianz,Health,Individual,2024-09-09,2025-04-26,48053.92,Renewed,Direct,Tamil Nadu,0.0,No Claim,8217.22
POL-39653663,Panini Dasgupta,Individual/B2C,ICICI Lombard,Health,Individual,2024-12-22,2025-05-07,17286.34,Expired,Broker,Karnataka,0.0,No Claim,1676.77
POL-92152904,Panini Dasgupta,Individual/B2C,Bajaj Allianz,Motor,CV,2025-06-04,2025-08-25,8823.58,Cancelled,Online,Karnataka,0.0,No Claim,1226.48
POL-39993588,Nilima Sastry,Individual/B2C,United India,Travel,Flight,2024-11-15,2025-02-01,39862.31,Active,Agency,Maharashtra,14404.55,Rejected,6338.11
POL-91263964,Nilima Sastry,Individual/B2C,United India,Home,Damage,2024-07-03,2025-06-07,15840.11,Expired,Online,Maharashtra,0.0,No Claim,1869.13
POL-29068875,Nilima Sastry,Individual/B2C,New India Assurance,Health,Group Medi,2024-12-29,2025-10-12,38925.18,Renewed,Direct,Maharashtra,0.0,No Claim,4398.55
POL-36250998,Nilima Sastry,Individual/B2C,Bajaj Allianz,Home,Damage,2025-10-30,2026-09-04,5252.28,Cancelled,Direct,Maharashtra,0.0,No Claim,488.46
POL-90966047,Nilima Sastry,Individual/B2C,Bajaj Allianz,Motor,4W,2026-06-10,2026-10-09,5315.25,Renewed,Broker,Maharashtra,0.0,No Claim,749.45
POL-73010392,Nilima Sastry,Individual/B2C,New India Assurance,Health,Individual,2025-10-25,2025-11-12,29020.7,Cancelled,Online,Maharashtra,16404.26,Under Review,4208.0
POL-71656060,Guneet Lata,Individual/B2C,New India Assurance,Motor,CV,2024-12-29,2025-07-18,40193.19,Expired,Broker,Uttar Pradesh,0.0,No Claim,6149.56
POL-31185623,Guneet Lata,Individual/B2C,TATA AIG,Home,Damage,2025-03-16,2025-06-07,41552.0,Active,Broker,Uttar Pradesh,0.0,No Claim,7022.29
POL-6899575,Guneet Lata,Individual/B2C,ICICI Lombard,Travel,Overseas,2025-11-10,2026-07-22,34014.33,Cancelled,Agency,Uttar Pradesh,18225.81,Registered,3027.28
POL-32172308,Guneet Lata,Individual/B2C,TATA AIG,Home,Damage,2025-11-21,2026-03-11,44186.71,Cancelled,Agency,Uttar Pradesh,24751.25,Registered,6141.95
POL-54551183,Guneet Lata,Individual/B2C,United India,Motor,4W,2025-08-11,2026-02-16,29304.82,Active,Agency,Uttar Pradesh,0.0,No Claim,4337.11
POL-52922657,Guneet Lata,Individual/B2C,TATA AIG,Motor,CV,2024-08-30,2025-01-12,8012.04,Expired,Broker,Uttar Pradesh,31583.73,Approved,1370.06
POL-77595759,Guneet Lata,Individual/B2C,TATA AIG,Health,Group Medi,2026-02-10,2026-04-24,16131.42,Active,Direct,Uttar Pradesh,31541.73,Approved,2306.79
POL-44897677,Guneet Lata,Individual/B2C,New India Assurance,Travel,Flight,2024-12-08,2025-10-19,18363.13,Cancelled,Online,Uttar Pradesh,39297.37,Registered,1836.31
POL-81963282,Andrew Sarkar,Individual/B2C,ICICI Lombard,Home,Damage,2025-02-02,2025-11-08,12346.85,Active,Agency,Delhi,3290.34,Rejected,2185.39
POL-53694545,Andrew Sarkar,Individual/B2C,HDFC ERGO,Health,Group Medi,2026-03-13,2026-07-05,18665.51,Active,Broker,Delhi,0.0,No Claim,2855.82
POL-26027287,Andrew Sarkar,Individual/B2C,TATA AIG,Motor,4W,2025-11-09,2026-05-05,23925.21,Cancelled,Online,Delhi,0.0,No Claim,2105.42
POL-14568939,Andrew Sarkar,Individual/B2C,ICICI Lombard,Travel,Overseas,2025-05-31,2025-07-05,40346.99,Expired,Agency,Delhi,0.0,No Claim,4317.13
POL-34179915,Andrew Sarkar,Individual/B2C,New India Assurance,Travel,Overseas,2026-03-12,2026-05-24,12361.38,Expired,Broker,Delhi,0.0,No Claim,2076.71
POL-75492464,Upasna Koshy,Individual/B2C,Bajaj Allianz,Health,Group Medi,2024-11-20,2025-03-28,34417.56,Expired,Agency,Delhi,35249.33,Registered,4508.7
POL-49248488,Upasna Koshy,Individual/B2C,HDFC ERGO,Travel,Flight,2025-04-12,2025-08-15,14517.49,Expired,Online,Delhi,0.0,No Claim,1596.92
